,0,1,2
company,0.0,0.000956,0.0
compared,0.000473,0.00239,0.0
completely,0.000473,0.0,0.0
compliant,0.000473,0.0,0.0
compressed,0.000473,0.0,0.0
concluded,0.000473,0.0,0.0
condition,0.000473,0.0,0.0
confident,0.0,0.000478,0.0
confirmed,0.0,0.0,0.000475
connecting,0.0,0.0,0.000475
conscious,0.000473,0.0,0.0
consider,0.000473,0.0,0.0
considering,0.0,0.000478,0.0
constant,0.0,0.000478,0.0
constantly,0.0,0.000956,0.0
construct,0.0,0.0,0.000475
constructing,0.0,0.0,0.000475
contemporary,0.000473,0.0,0.0
content,0.0,0.000478,0.0
continued,0.0,0.0,0.00095
contour,0.0,0.0,0.00095
contrast,0.000473,0.0,0.0
contributing,0.0,0.000478,0.0
cooked,0.000473,0.0,0.0
cost,0.0,0.000478,0.0
country,0.0,0.0,0.003325
couple,0.0,0.000478,0.0
course,0.000473,0.000478,0.0
craggy,0.0,0.0,0.000475
create,0.000473,0.0,0.0
creation,0.0,0.000478,0.0
crossed,0.0,0.0,0.00095
crossing,0.0,0.0,0.00095
crowd,0.000473,0.0,0.0
crowded,0.0,0.0,0.000475
crucial,0.000473,0.0,0.0
cubic,0.0,0.0,0.000475
culture,0.000947,0.000956,0.0
current,0.0,0.000478,0.0
currently,0.0,0.000478,0.0
cusp,0.0,0.0,0.000475
cut,0.0,0.0,0.000475
cutting,0.0,0.0,0.000475
daily,0.000473,0.000478,0.0
dark,0.000947,0.0,0.0
darkness,0.000473,0.0,0.0
data,0.00142,0.000478,0.0
david,0.000473,0.0,0.0
day,0.002367,0.000956,0.000475
death,0.0,0.0,0.000475
debate,0.000473,0.0,0.0
december,0.0,0.0,0.000475
dedicate,0.0,0.000478,0.0
deep,0.0,0.0,0.001425
deeper,0.0,0.0,0.000475
defeat,0.0,0.0,0.000475
deloitte,0.0,0.000478,0.0
denuded,0.0,0.0,0.000475
depends,0.000473,0.0,0.0
depth,0.0,0.0,0.000475
descended,0.0,0.0,0.000475
described,0.0,0.0,0.000475
describes,0.000947,0.0,0.0
despite,0.0,0.0,0.000475
detour,0.0,0.0,0.000475
device,0.000947,0.0,0.0
did,0.000947,0.000478,0.000475
diet,0.000473,0.0,0.0
differ,0.000473,0.0,0.0
difference,0.0,0.0,0.000475
different,0.000947,0.000956,0.000475
difficult,0.0,0.000956,0.001425
dinner,0.0,0.000478,0.0
disconnecting,0.0,0.000478,0.0
discover,0.0,0.0,0.00095
discovered,0.0,0.0,0.000475
discrepancy,0.000473,0.0,0.0
discussing,0.0,0.000478,0.0
dissatisfied,0.0,0.000478,0.0
documented,0.0,0.000478,0.0
doesn,0.0,0.001434,0.0
don,0.0,0.000956,0.0
drama,0.0,0.0,0.00095
draw,0.0,0.000478,0.0
dream,0.000473,0.0,0.0
dreaming,0.000947,0.0,0.0
drive,0.0,0.0,0.00285
driving,0.0,0.0,0.000475
drove,0.0,0.0,0.00095
dry,0.000473,0.0,0.0
dutch,0.0,0.0,0.000475
dwindling,0.000947,0.0,0.0
earlier,0.000473,0.0,0.0
earliest,0.0,0.000956,0.0
early,0.000473,0.000956,0.0
earning,0.0,0.000478,0.0
earth,0.0,0.0,0.00095
easier,0.0,0.001434,0.0
ecologist,0.000947,0.0,0.0
edge,0.0,0.0,0.001425
eeg,0.000473,0.0,0.0
effect,0.0,0.000478,0.0
effective,0.0,0.000478,0.0
efficiency,0.0,0.0,0.000475
effort,0.000473,0.000956,0.0
electric,0.000473,0.0,0.0
electroencephalography,0.000473,0.0,0.0
elemental,0.0,0.0,0.000475
email,0.0,0.000478,0.0
employee,0.0,0.001434,0.0
encountered,0.0,0.000478,0.0
end,0.0,0.0,0.0019
energy,0.0,0.000956,0.0
engineering,0.0,0.000478,0.0
enjoy,0.0,0.000478,0.0
entered,0.0,0.0,0.000475
entire,0.0,0.000478,0.0
entirely,0.0,0.000956,0.0
entrepreneurship,0.0,0.000478,0.0
environment,0.000473,0.000478,0.0
equipment,0.000473,0.0,0.0
especially,0.0,0.000956,0.0
eternal,0.0,0.0,0.000475
europe,0.000473,0.0,0.001425
european,0.0,0.0,0.00095
evening,0.000947,0.0,0.0
everest,0.0,0.0,0.000475
everybody,0.0,0.000478,0.0
evoking,0.0,0.0,0.000475
evolution,0.001894,0.0,0.0
evolutionary,0.001894,0.0,0.0
evolved,0.003314,0.0,0.0
exacerbating,0.0,0.000478,0.0
exactly,0.000473,0.0,0.0
example,0.000947,0.000956,0.0
exceptionally,0.000473,0.0,0.0
exhausted,0.0,0.000956,0.0
exhaustion,0.0,0.000478,0.0
exhibition,0.0,0.0,0.000475
exist,0.0,0.0,0.000475
existing,0.000473,0.0,0.0
expectation,0.0,0.000478,0.0
experience,0.000947,0.001434,0.0
experienced,0.0,0.000478,0.0
experiencing,0.000473,0.000956,0.0
explains,0.0,0.000956,0.0
extension,0.000473,0.0,0.0
extra,0.0,0.000478,0.0
eye,0.000473,0.0,0.000475
faced,0.0,0.0,0.000475
facilitated,0.000473,0.0,0.0
facing,0.0,0.000478,0.0
