,0,1,2
climate,0.000292,0.0,0.0003
climbed,0.0,0.0,0.000813
closer,0.0,0.000806,0.0
closest,0.00158,0.0,0.0
cloud,0.0,0.0,0.000813
coach,0.0,0.000806,0.0
coast,0.0,0.0,0.004879
coastal,0.0,0.0,0.001626
coastline,0.0,0.0,0.003253
colder,0.00079,0.0,0.0
collaborated,0.00079,0.0,0.0
colleague,0.000583,0.000298,0.0
collection,0.0,0.000806,0.0
come,0.000875,0.0,0.0006
comfortable,0.0,0.000806,0.0
common,0.0,0.000806,0.0
commonplace,0.0,0.000806,0.0
communication,0.0,0.000806,0.0
community,0.00158,0.0,0.0
company,0.0,0.001612,0.0
compared,0.000292,0.001487,0.0
completely,0.00079,0.0,0.0
compliant,0.00079,0.0,0.0
compressed,0.00079,0.0,0.0
concluded,0.00079,0.0,0.0
condition,0.00079,0.0,0.0
confident,0.0,0.000806,0.0
confirmed,0.0,0.0,0.000813
connecting,0.0,0.0,0.000813
conscious,0.00079,0.0,0.0
consider,0.00079,0.0,0.0
considering,0.0,0.000806,0.0
constant,0.0,0.000806,0.0
constantly,0.0,0.001612,0.0
construct,0.0,0.0,0.000813
constructing,0.0,0.0,0.000813
contemporary,0.00079,0.0,0.0
content,0.0,0.000806,0.0
continued,0.0,0.0,0.001626
contour,0.0,0.0,0.001626
contrast,0.00079,0.0,0.0
contributing,0.0,0.000806,0.0
cooked,0.00079,0.0,0.0
cost,0.0,0.000806,0.0
could,0.0,0.0,0.0
country,0.0,0.0,0.005692
couple,0.0,0.000806,0.0
course,0.000292,0.000298,0.0
craggy,0.0,0.0,0.000813
create,0.00079,0.0,0.0
creation,0.0,0.000806,0.0
crossed,0.0,0.0,0.001626
crossing,0.0,0.0,0.001626
crowd,0.00079,0.0,0.0
crowded,0.0,0.0,0.000813
crucial,0.00079,0.0,0.0
cry,0.0,0.0,0.000813
cubic,0.0,0.0,0.000813
culture,0.000583,0.000595,0.0
current,0.0,0.000806,0.0
currently,0.0,0.000806,0.0
cusp,0.0,0.0,0.000813
cut,0.0,0.0,0.000813
cutting,0.0,0.0,0.000813
daily,0.000292,0.000298,0.0
dark,0.00158,0.0,0.0
darkness,0.00079,0.0,0.0
data,0.000875,0.000298,0.0
david,0.00079,0.0,0.0
day,0.0,0.0,0.0
death,0.0,0.0,0.000813
debate,0.00079,0.0,0.0
december,0.0,0.0,0.000813
dedicate,0.0,0.000806,0.0
deep,0.0,0.0,0.00244
deeper,0.0,0.0,0.000813
defeat,0.0,0.0,0.000813
deloitte,0.0,0.000806,0.0
denuded,0.0,0.0,0.000813
depends,0.00079,0.0,0.0
depth,0.0,0.0,0.000813
descended,0.0,0.0,0.000813
described,0.0,0.0,0.000813
describes,0.00158,0.0,0.0
despite,0.0,0.0,0.000813
detour,0.0,0.0,0.000813
device,0.00158,0.0,0.0
diet,0.00079,0.0,0.0
differ,0.00079,0.0,0.0
difference,0.0,0.0,0.000813
different,0.0,0.0,0.0
difficult,0.0,0.000595,0.000901
dinner,0.0,0.000806,0.0
disconnecting,0.0,0.000806,0.0
discover,0.0,0.0,0.001626
discovered,0.0,0.0,0.000813
discrepancy,0.00079,0.0,0.0
discussing,0.0,0.000806,0.0
dissatisfied,0.0,0.000806,0.0
documented,0.0,0.000806,0.0
done,0.0,0.0,0.000813
drama,0.0,0.0,0.001626
draw,0.0,0.000806,0.0
dream,0.00079,0.0,0.0
dreaming,0.00158,0.0,0.0
drive,0.0,0.0,0.004879
driving,0.0,0.0,0.000813
drove,0.0,0.0,0.001626
dry,0.00079,0.0,0.0
dutch,0.0,0.0,0.000813
dwindling,0.00158,0.0,0.0
earlier,0.00079,0.0,0.0
earliest,0.0,0.001612,0.0
early,0.000292,0.000595,0.0
earning,0.0,0.000806,0.0
earth,0.0,0.0,0.001626
easier,0.0,0.002418,0.0
ecologist,0.00158,0.0,0.0
edge,0.0,0.0,0.00244
eeg,0.00079,0.0,0.0
effect,0.0,0.000806,0.0
effective,0.0,0.000806,0.0
efficiency,0.0,0.0,0.000813
effort,0.000292,0.000595,0.0
electric,0.00079,0.0,0.0
electroencephalography,0.00079,0.0,0.0
elemental,0.0,0.0,0.000813
elsewhere,0.00079,0.0,0.0
email,0.0,0.000806,0.0
employee,0.0,0.002418,0.0
empty,0.0,0.0,0.000813
encountered,0.0,0.000806,0.0
end,0.0,0.0,0.003253
energy,0.0,0.001612,0.0
engineering,0.0,0.000806,0.0
enjoy,0.0,0.000806,0.0
enough,0.000292,0.0,0.0006
entered,0.0,0.0,0.000813
entire,0.0,0.000806,0.0
entirely,0.0,0.001612,0.0
entrepreneurship,0.0,0.000806,0.0
environment,0.000292,0.000298,0.0
equipment,0.00079,0.0,0.0
especially,0.0,0.001612,0.0
eternal,0.0,0.0,0.000813
europe,0.000292,0.0,0.000901
european,0.0,0.0,0.001626
even,0.0,0.001785,0.0003
evening,0.00158,0.0,0.0
ever,0.000292,0.0,0.0006
everest,0.0,0.0,0.000813
every,0.0,0.0,0.0
everybody,0.0,0.000806,0.0
everything,0.0,0.0,0.000813
everywhere,0.0,0.0,0.000813
evoking,0.0,0.0,0.000813
evolution,0.00316,0.0,0.0
evolutionary,0.00316,0.0,0.0
evolved,0.005528,0.0,0.0
exacerbating,0.0,0.000806,0.0
exactly,0.00079,0.0,0.0
example,0.000583,0.000595,0.0
exceptionally,0.00079,0.0,0.0
exhausted,0.0,0.001612,0.0
exhaustion,0.0,0.000806,0.0
exhibition,0.0,0.0,0.000813
exist,0.0,0.0,0.000813
existing,0.00079,0.0,0.0
expectation,0.0,0.000806,0.0
experience,0.000583,0.000892,0.0
experienced,0.0,0.000806,0.0
experiencing,0.000292,0.000595,0.0
explains,0.0,0.001612,0.0
extension,0.00079,0.0,0.0
extra,0.0,0.000806,0.0
eye,0.000292,0.0,0.0003
faced,0.0,0.0,0.000813
facilitated,0.00079,0.0,0.0
facing,0.0,0.000806,0.0
factor,0.000292,0.000595,0.0
fairy,0.0,0.0,0.000813
familiar,0.0,0.000806,0.0
family,0.0,0.000806,0.0
far,0.0,0.0,0.004066
faster,0.0,0.000806,0.0
fastest,0.0,0.000806,0.0
fatigue,0.0,0.000806,0.0
favourite,0.0,0.0,0.000813
featured,0.0,0.000806,0.0
feel,0.0,0.0,0.0
feeling,0.000292,0.00238,0.0
felt,0.0,0.0,0.0
female,0.0,0.0,0.000813
fence,0.0,0.0,0.000813
ferry,0.0,0.0,0.004879
feuding,0.0,0.0,0.000813
fewer,0.00079,0.0,0.0
field,0.000292,0.000298,0.0
fifth,0.0,0.0,0.000813
filled,0.0,0.0,0.000813
filling,0.0,0.0,0.000813
final,0.0,0.0,0.000813
financial,0.0,0.003224,0.0
