,date,content
0,2022-02-01 23:59:28+00:00,This @joinhitpiece fiasco reminds me of an April Fool’s piece we did at @AustinChronicle back in 1996 where the gag was that Dreamworks had bought outright and wholesale the rights to every Austin musician’s works without asking. We were ahead of our time by 25 years. https://t.co/v7LS89h1jZ
1,2022-02-01 23:59:28+00:00,@Disney disney and dreamworks change like this https://t.co/i0mB4Wk0qJ
2,2022-02-01 23:56:41+00:00,@keelyclove You making the dreamworks face and Cosmo looking like this is really a powerful combination https://t.co/7J51pvqtRS
3,2022-02-01 23:46:11+00:00,"I feel I have very little clout in Hollywood but whatever I have, that's how I'll use it. If Dreamworks gave me a pile of money to produce shows and movies I would use the construct of the thing to do it. I'm not interested in moral licensing, I want moral transformation."
4,2022-02-01 23:43:35+00:00,@Dreamworks shrek 5 sequel and rise of the guardians sequel announcement😭😭😭😭😭🥺🥺 https://t.co/sE6jNO4Jcu
5,2022-02-01 23:41:46+00:00,@Dreamworks dreamworks and disney change like this https://t.co/mZi7l3NqP7
6,2022-02-01 23:41:07+00:00,@Dreamworks shrek 4 is not final chapter shrek 5 sequel is final chapter https://t.co/oWJwMxsEJW
7,2022-02-01 23:40:05+00:00,Check out Dinotrux Reptool Rollers Click Clack Netflix DreamWorks Dinosaur Mattel https://t.co/SPxuaRCLe3 @eBay
8,2022-02-01 23:39:07+00:00,dreamworks ritsu
9,2022-02-01 23:39:04+00:00,@pattonoswalt The DreamWorks SKG of the Comic Book world. Almost single handedly sank the business itself after expanding a huge bubble
10,2022-02-01 23:31:36+00:00,In celebrating #BlackHistoryMonth  I will start with asking a question. Do black people like shrek the way us pinkies do? @Dreamworks https://t.co/7kyGwzP5FC
11,2022-02-01 23:30:33+00:00,"@aaron_beaty @joinhitpiece Exactly! LOL!
A combination of thankful and bummed. A shrug with a half grin half frown. Almost like a character on a DreamWorks poster."
12,2022-02-01 23:25:07+00:00,@StudioZolo I was wondering what regular Dreamworks' last movie was
13,2022-02-01 23:13:25+00:00,@LilFatBeautiful @Dreamworks I'm with you
14,2022-02-01 23:11:11+00:00,"#RT @Dreamworks: To the heroes who unite, educate, entertain, and empower our world. NBC celebrates Black History. #TogetherWeRiseNBCU https://t.co/IOoDWSdMaZ"
15,2022-02-01 23:09:22+00:00,"@Dreamworks heroes? hahahahaha
heroes?"
16,2022-02-01 23:06:04+00:00,"People should really into studio ghilbli productions to see how long these processes take 
Hell look at a video about DreamWorks they take just as long to make everything look perfect https://t.co/q8XuvHMmoD"
17,2022-02-01 23:05:45+00:00,@brandenjohnson Dreamworks Gabby's Dollhouse?
18,2022-02-01 23:01:53+00:00,"@Dreamworks kung fu panda is a hero who unites, educates, entertains, and empowers our world. https://t.co/flmEPpyb1d"
19,2022-02-01 22:57:24+00:00,DreamWorks Spotlights Deaf Culture And Disability Representation In ‘Madagascar: A Little Wild’ Series via @forbes https://t.co/D4i9rckx7A
20,2022-02-01 22:51:36+00:00,DreamWorks when they made Prince Of Egypt https://t.co/Eh72Oz02Sl
21,2022-02-01 22:51:11+00:00,"@Trolls @Dreamworks 1: 1st Choice
2: 3rd Choice
3: 3rd Choice"
22,2022-02-01 22:47:11+00:00,"@Dreamworks Yes, yes, year of tigress my balls. Where’s my fucking sequel? Where is the year of the Bee 🐝???"
23,2022-02-01 22:37:45+00:00,@StudioZolo The live action Dreamworks is part of Spielberg’s own company with Amblin.
24,2022-02-01 22:22:08+00:00,@ECH00LOCATION i was gonna make a dreamworks joke but actually he looks like round dwayne johnson
25,2022-02-01 22:11:37+00:00,#RT @Dreamworks: Here's to a year of Tigress energy 🐯 https://t.co/zu4UP7G3Ls
26,2022-02-01 22:10:31+00:00,@Dreamworks Better and Better.
27,2022-02-01 22:09:49+00:00,@Dreamworks I was born in 1998.
28,2022-02-01 22:07:06+00:00,@Dreamworks That’s me!!!
29,2022-02-01 22:04:30+00:00,"@dansafrane I've always enjoyed it but apparently it nearly sunk DreamWorks before they'd really even started. 
Great E28 Vs W140 action 😉"
30,2022-02-01 22:04:07+00:00,Nowadays I prefer dreamworks over disney https://t.co/z0KoHdjvmy
31,2022-02-01 22:01:56+00:00,@angrysuki To either be an animator or character designer for DreamWorks! Also with an animal sanctuary farm ♥️
32,2022-02-01 21:38:45+00:00,California by Rufus Wainwright on Poses (UMG - DreamWorks) #NowPlaying
33,2022-02-01 21:31:24+00:00,@Dreamworks #YearOfTheTiger Year Of The Tigress! https://t.co/FNWO05o8Pp
34,2022-02-01 21:30:15+00:00,@StudioZolo That's because the live-action DreamWorks since the split in 2004 fell off
